Origem,Alagoas (Km),Alagoas (Hr - Comercial),Alagoas (Hr - Cargueiro),Amapá (Km),Amapá (Hr - Comercial),Amapá (Hr - Cargueiro),Amazonas (Km),Amazonas (Hr - Comercial),Amazonas (Hr - Cargueiro),Bahia (Km),Bahia (Hr - Comercial),Bahia (Hr - Cargueiro),Ceará (Km),Ceará (Hr - Comercial),Ceará (Hr - Cargueiro),Distrito Federal (Km),Distrito Federal (Hr - Comercial),Distrito Federal (Hr - Cargueiro),Espírito Santo (Km),Espírito Santo (Hr - Comercial),Espírito Santo (Hr - Cargueiro),Maranhão (Km),Maranhão (Hr - Comercial),Maranhão (Hr - Cargueiro),Mato Grosso (Km),Mato Grosso (Hr - Comercial),Mato Grosso (Hr - Cargueiro),Minas Gerais (Km),Minas Gerais (Hr - Comercial),Minas Gerais (Hr - Cargueiro),Pará (Km),Pará (Hr - Comercial),Pará (Hr - Cargueiro),Paraná (Km),Paraná (Hr - Comercial),Paraná (Hr - Cargueiro),Pernambuco (Km),Pernambuco (Hr - Comercial),Pernambuco (Hr - Cargueiro),Rio de Janeiro (Km),Rio de Janeiro (Hr - Comercial),Rio de Janeiro (Hr - Cargueiro),Rio Grande do Norte (Km),Rio Grande do Norte (Hr - Comercial),Rio Grande do Norte (Hr - Cargueiro),Rio Grande do Sul (Km),Rio Grande do Sul (Hr - Comercial),Rio Grande do Sul (Hr - Cargueiro),Santa Catarina (Km),Santa Catarina (Hr - Comercial),Santa Catarina (Hr - Cargueiro),São Paulo (Km),São Paulo (Hr - Comercial),São Paulo (Hr - Cargueiro),Sergipe (Km),Sergipe (Hr - Comercial),Sergipe (Hr - Cargueiro)
Aeroporto de Frankfurt,7825,08:41 ~ 09:12,09:12 ~ 09:46,7891,08:46 ~ 09:17,09:17 ~ 09:51,9217,10:14 ~ 10:50,10:50 ~ 11:31,8336,09:15 ~ 09:48,09:48 ~ 10:25,7471,08:18 ~ 08:47,08:47 ~ 09:20,9150,10:09 ~ 10:45,10:45 ~ 11:26,9148,10:09 ~ 10:45,10:45 ~ 11:26,7697,08:33 ~ 09:03,09:03 ~ 09:37,9644,10:42 ~ 11:20,11:20 ~ 12:03,9242,10:16 ~ 10:52,10:52 ~ 11:33,7851,08:43 ~ 09:14,09:14 ~ 09:48,10093,11:12 ~ 11:52,11:52 ~ 12:36,7693,08:32 ~ 09:03,09:03 ~ 09:36,9551,10:36 ~ 11:14,11:14 ~ 11:56,7482,08:18 ~ 08:48,08:48 ~ 09:21,10640,11:49 ~ 12:31,12:31 ~ 13:18,10284,11:25 ~ 12:05,12:05 ~ 12:51,9776,10:51 ~ 11:30,11:30 ~ 12:13,8080,08:58 ~ 09:30,09:30 ~ 10:05
Aeroporto de Schiphol (Amsterdã),7815,08:41 ~ 09:11,09:11 ~ 09:46,7763,08:37 ~ 09:07,09:07 ~ 09:42,9028,10:01 ~ 10:37,10:37 ~ 11:17,8323,09:14 ~ 09:47,09:47 ~ 10:24,7428,08:15 ~ 08:44,08:44 ~ 09:17,9094,10:06 ~ 10:41,10:41 ~ 11:22,9146,10:09 ~ 10:45,10:45 ~ 11:25,7615,08:27 ~ 08:57,08:57 ~ 09:31,9543,10:36 ~ 11:13,11:13 ~ 11:55,9222,10:14 ~ 10:50,10:50 ~ 11:31,7742,08:36 ~ 09:06,09:06 ~ 09:40,10061,11:10 ~ 11:50,11:50 ~ 12:34,7685,08:32 ~ 09:02,09:02 ~ 09:36,9542,10:36 ~ 11:13,11:13 ~ 11:55,7465,08:17 ~ 08:46,08:46 ~ 09:19,10614,11:47 ~ 12:29,12:29 ~ 13:16,10263,11:24 ~ 12:04,12:04 ~ 12:49,9751,10:50 ~ 11:28,11:28 ~ 12:11,8068,08:57 ~ 09:29,09:29 ~ 10:05
Aeroporto de Luxemburgo,7671,08:31 ~ 09:01,09:01 ~ 09:35,7718,08:34 ~ 09:04,09:04 ~ 09:38,9041,10:02 ~ 10:38,10:38 ~ 11:18,8182,09:05 ~ 09:37,09:37 ~ 10:13,7310,08:07 ~ 08:35,08:35 ~ 09:08,8987,09:59 ~ 10:34,10:34 ~ 11:14,8996,09:59 ~ 10:35,10:35 ~ 11:14,7529,08:21 ~ 08:51,08:51 ~ 09:24,9474,10:31 ~ 11:08,11:08 ~ 11:50,9086,10:05 ~ 10:41,10:41 ~ 11:21,7680,08:31 ~ 09:02,09:02 ~ 09:35,9935,11:02 ~ 11:41,11:41 ~ 12:25,7539,08:22 ~ 08:52,08:52 ~ 09:25,9398,10:26 ~ 11:03,11:03 ~ 11:44,7327,08:08 ~ 08:37,08:37 ~ 09:09,10483,11:38 ~ 12:19,12:19 ~ 13:06,10129,11:15 ~ 11:54,11:54 ~ 12:39,9619,10:41 ~ 11:18,11:18 ~ 12:01,7925,08:48 ~ 09:19,09:19 ~ 09:54
Aeroporto de Zurique,7630,08:28 ~ 08:58,08:58 ~ 09:32,7775,08:38 ~ 09:08,09:08 ~ 09:43,9149,10:09 ~ 10:45,10:45 ~ 11:26,8143,09:02 ~ 09:34,09:34 ~ 10:10,7298,08:06 ~ 08:35,08:35 ~ 09:07,8982,09:58 ~ 10:34,10:34 ~ 11:13,8947,09:56 ~ 10:31,10:31 ~ 11:11,7547,08:23 ~ 08:52,08:52 ~ 09:26,9504,10:33 ~ 11:10,11:10 ~ 11:52,9051,10:03 ~ 10:38,10:38 ~ 11:18,7721,08:34 ~ 09:05,09:05 ~ 09:39,9908,11:00 ~ 11:39,11:39 ~ 12:23,7497,08:19 ~ 08:49,08:49 ~ 09:22,9353,10:23 ~ 11:00,11:00 ~ 11:41,7293,08:06 ~ 08:34,08:34 ~ 09:06,10450,11:36 ~ 12:17,12:17 ~ 13:03,10092,11:12 ~ 11:52,11:52 ~ 12:36,9587,10:39 ~ 11:16,11:16 ~ 11:59,7886,08:45 ~ 09:16,09:16 ~ 09:51
Aeroporto de Bruxelas,7687,08:32 ~ 09:02,09:02 ~ 09:36,7673,08:31 ~ 09:01,09:01 ~ 09:35,8963,09:57 ~ 10:32,10:32 ~ 11:12,8196,09:06 ~ 09:38,09:38 ~ 10:14,7309,08:07 ~ 08:35,08:35 ~ 09:08,8979,09:58 ~ 10:33,10:33 ~ 11:13,9017,10:01 ~ 10:36,10:36 ~ 11:16,7508,08:20 ~ 08:49,08:49 ~ 09:23,9443,10:29 ~ 11:06,11:06 ~ 11:48,9097,10:06 ~ 10:42,10:42 ~ 11:22,7645,08:29 ~ 08:59,08:59 ~ 09:33,9940,11:02 ~ 11:41,11:41 ~ 12:25,7557,08:23 ~ 08:53,08:53 ~ 09:26,9415,10:27 ~ 11:04,11:04 ~ 11:46,7339,08:09 ~ 08:38,08:38 ~ 09:10,10492,11:39 ~ 12:20,12:20 ~ 13:06,10139,11:15 ~ 11:55,11:55 ~ 12:40,9628,10:41 ~ 11:19,11:19 ~ 12:02,7941,08:49 ~ 09:20,09:20 ~ 09:55
Aeroporto de Roma-Fiumicino,7455,08:16 ~ 08:46,08:46 ~ 09:19,7826,08:41 ~ 09:12,09:12 ~ 09:46,9308,10:20 ~ 10:57,10:57 ~ 11:38,7967,08:51 ~ 09:22,09:22 ~ 09:57,7191,07:59 ~ 08:27,08:27 ~ 08:59,8877,09:51 ~ 10:26,10:26 ~ 11:05,8740,09:42 ~ 10:16,10:16 ~ 10:55,7509,08:20 ~ 08:50,08:50 ~ 09:23,9477,10:31 ~ 11:08,11:08 ~ 11:50,8875,09:51 ~ 10:26,10:26 ~ 11:05,7735,08:35 ~ 09:05,09:05 ~ 09:40,9745,10:49 ~ 11:27,11:27 ~ 12:10,7320,08:07 ~ 08:36,08:36 ~ 09:09,9155,10:10 ~ 10:46,10:46 ~ 11:26,7136,07:55 ~ 08:23,08:23 ~ 08:55,10269,11:24 ~ 12:04,12:04 ~ 12:50,9907,11:00 ~ 11:39,11:39 ~ 12:23,9414,10:27 ~ 11:04,11:04 ~ 11:46,7711,08:34 ~ 09:04,09:04 ~ 09:38
Aeroporto de Milão-Malpensa,7505,08:20 ~ 08:49,08:49 ~ 09:22,7709,08:33 ~ 09:04,09:04 ~ 09:38,9115,10:07 ~ 10:43,10:43 ~ 11:23,8018,08:54 ~ 09:25,09:25 ~ 10:01,7189,07:59 ~ 08:27,08:27 ~ 08:59,8875,09:51 ~ 10:26,10:26 ~ 11:05,8815,09:47 ~ 10:22,10:22 ~ 11:01,7456,08:17 ~ 08:46,08:46 ~ 09:19,9419,10:27 ~ 11:04,11:04 ~ 11:46,8927,09:55 ~ 10:30,10:30 ~ 11:09,7644,08:29 ~ 08:59,08:59 ~ 09:33,9788,10:52 ~ 11:30,11:30 ~ 12:14,7371,08:11 ~ 08:40,08:40 ~ 09:12,9224,10:14 ~ 10:51,10:51 ~ 11:31,7171,07:58 ~ 08:26,08:26 ~ 08:57,10326,11:28 ~ 12:08,12:08 ~ 12:54,9967,11:04 ~ 11:43,11:43 ~ 12:27,9464,10:30 ~ 11:08,11:08 ~ 11:49,7761,08:37 ~ 09:07,09:07 ~ 09:42
Aeroporto de Heathrow (Londres),7511,08:20 ~ 08:50,08:50 ~ 09:23,7406,08:13 ~ 08:42,08:42 ~ 09:15,8658,09:37 ~ 10:11,10:11 ~ 10:49,8016,08:54 ~ 09:25,09:25 ~ 10:01,7106,07:53 ~ 08:21,08:21 ~ 08:52,8763,09:44 ~ 10:18,10:18 ~ 10:57,8844,09:49 ~ 10:24,10:24 ~ 11:03,7276,08:05 ~ 08:33,08:33 ~ 09:05,9194,10:12 ~ 10:48,10:48 ~ 11:29,8910,09:54 ~ 10:28,10:28 ~ 11:08,7391,08:12 ~ 08:41,08:41 ~ 09:14,9741,10:49 ~ 11:27,11:27 ~ 12:10,7382,08:12 ~ 08:41,08:41 ~ 09:13,9235,10:15 ~ 10:51,10:51 ~ 11:32,7157,07:57 ~ 08:25,08:25 ~ 08:56,10297,11:26 ~ 12:06,12:06 ~ 12:52,9949,11:03 ~ 11:42,11:42 ~ 12:26,9436,10:29 ~ 11:06,11:06 ~ 11:47,7762,08:37 ~ 09:07,09:07 ~ 09:42
Aeroporto de Gatwick (Londres),7494,08:19 ~ 08:48,08:48 ~ 09:22,7402,08:13 ~ 08:42,08:42 ~ 09:15,8662,09:37 ~ 10:11,10:11 ~ 10:49,7999,08:53 ~ 09:24,09:24 ~ 09:59,7092,07:52 ~ 08:20,08:20 ~ 08:51,8751,09:43 ~ 10:17,10:17 ~ 10:56,8827,09:48 ~ 10:23,10:23 ~ 11:02,7266,08:04 ~ 08:32,08:32 ~ 09:04,9187,10:12 ~ 10:48,10:48 ~ 11:29,8894,09:52 ~ 10:27,10:27 ~ 11:07,7385,08:12 ~ 08:41,08:41 ~ 09:13,9727,10:48 ~ 11:26,11:26 ~ 12:09,7365,08:11 ~ 08:39,08:39 ~ 09:12,9219,10:14 ~ 10:50,10:50 ~ 11:31,7141,07:56 ~ 08:24,08:24 ~ 08:55,10282,11:25 ~ 12:05,12:05 ~ 12:51,9934,11:02 ~ 11:41,11:41 ~ 12:25,9421,10:28 ~ 11:05,11:05 ~ 11:46,7745,08:36 ~ 09:06,09:06 ~ 09:40
Aeroporto Internacional de Malta,7235,08:02 ~ 08:30,08:30 ~ 09:02,7825,08:41 ~ 09:12,09:12 ~ 09:46,9397,10:26 ~ 11:03,11:03 ~ 11:44,7741,08:36 ~ 09:06,09:06 ~ 09:40,7042,07:49 ~ 08:17,08:17 ~ 08:48,8708,09:40 ~ 10:14,10:14 ~ 10:53,8475,09:24 ~ 09:58,09:58 ~ 10:35,7423,08:14 ~ 08:43,08:43 ~ 09:16,9379,10:25 ~ 11:02,11:02 ~ 11:43,8639,09:35 ~ 10:09,10:09 ~ 10:47,7699,08:33 ~ 09:03,09:03 ~ 09:37,9511,10:34 ~ 11:11,11:11 ~ 11:53,7100,07:53 ~ 08:21,08:21 ~ 08:52,8893,09:52 ~ 10:27,10:27 ~ 11:06,6938,07:42 ~ 08:09,08:09 ~ 08:40,10012,11:07 ~ 11:46,11:46 ~ 12:30,9650,10:43 ~ 11:21,11:21 ~ 12:03,9174,10:11 ~ 10:47,10:47 ~ 11:28,7488,08:19 ~ 08:48,08:48 ~ 09:21
Aeroporto de Dublin,7462,08:17 ~ 08:46,08:46 ~ 09:19,7213,08:00 ~ 08:29,08:29 ~ 09:00,8386,09:19 ~ 09:51,09:51 ~ 10:28,7959,08:50 ~ 09:21,09:21 ~ 09:56,7018,07:47 ~ 08:15,08:15 ~ 08:46,8648,09:36 ~ 10:10,10:10 ~ 10:48,8795,09:46 ~ 10:20,10:20 ~ 10:59,7141,07:56 ~ 08:24,08:24 ~ 08:55,9023,10:01 ~ 10:36,10:36 ~ 11:16,8838,09:49 ~ 10:23,10:23 ~ 11:02,7221,08:01 ~ 08:29,08:29 ~ 09:01,9649,10:43 ~ 11:21,11:21 ~ 12:03,7337,08:09 ~ 08:37,08:37 ~ 09:10,9175,10:11 ~ 10:47,10:47 ~ 11:28,7103,07:53 ~ 08:21,08:21 ~ 08:52,10209,11:20 ~ 12:00,12:00 ~ 12:45,9869,10:57 ~ 11:36,11:36 ~ 12:20,9355,10:23 ~ 11:00,11:00 ~ 11:41,7708,08:33 ~ 09:04,09:04 ~ 09:38
Aeroporto de Toulouse-Blagnac (França),6935,07:42 ~ 08:09,08:09 ~ 08:40,7087,07:52 ~ 08:20,08:20 ~ 08:51,8494,09:26 ~ 09:59,09:59 ~ 10:37,7447,08:16 ~ 08:45,08:45 ~ 09:18,6596,07:19 ~ 07:45,07:45 ~ 08:14,8280,09:11 ~ 09:44,09:44 ~ 10:20,8255,09:10 ~ 09:42,09:42 ~ 10:19,6846,07:36 ~ 08:03,08:03 ~ 08:33,8806,09:47 ~ 10:21,10:21 ~ 11:00,8354,09:16 ~ 09:49,09:49 ~ 10:26,7026,07:48 ~ 08:15,08:15 ~ 08:46,9209,10:13 ~ 10:50,10:50 ~ 11:30,6802,07:33 ~ 08:00,08:00 ~ 08:30,8660,09:37 ~ 10:11,10:11 ~ 10:49,6595,07:19 ~ 07:45,07:45 ~ 08:14,9753,10:50 ~ 11:28,11:28 ~ 12:11,9396,10:26 ~ 11:03,11:03 ~ 11:44,8889,09:52 ~ 10:27,10:27 ~ 11:06,7190,07:59 ~ 08:27,08:27 ~ 08:59
Aeroporto de Barcelona-El Prat (Espanha),6783,07:32 ~ 07:58,07:58 ~ 08:28,7020,07:47 ~ 08:15,08:15 ~ 08:46,8471,09:24 ~ 09:57,09:57 ~ 10:35,7296,08:06 ~ 08:35,08:35 ~ 09:07,6468,07:11 ~ 07:36,07:36 ~ 08:05,8156,09:03 ~ 09:35,09:35 ~ 10:11,8096,08:59 ~ 09:31,09:31 ~ 10:07,6745,07:29 ~ 07:56,07:56 ~ 08:25,8710,09:40 ~ 10:14,10:14 ~ 10:53,8205,09:07 ~ 09:39,09:39 ~ 10:15,6945,07:43 ~ 08:10,08:10 ~ 08:40,9066,10:04 ~ 10:39,10:39 ~ 11:19,6650,07:23 ~ 07:49,07:49 ~ 08:18,8504,09:26 ~ 10:00,10:00 ~ 10:37,6449,07:09 ~ 07:35,07:35 ~ 08:03,9605,10:40 ~ 11:18,11:18 ~ 12:00,9246,10:16 ~ 10:52,10:52 ~ 11:33,8742,09:42 ~ 10:17,10:17 ~ 10:55,7039,07:49 ~ 08:16,08:16 ~ 08:47
Aeroporto de Barcelona-El Prat,6784,07:32 ~ 07:58,07:58 ~ 08:28,7021,07:48 ~ 08:15,08:15 ~ 08:46,8471,09:24 ~ 09:57,09:57 ~ 10:35,7297,08:06 ~ 08:35,08:35 ~ 09:07,6469,07:11 ~ 07:36,07:36 ~ 08:05,8156,09:03 ~ 09:35,09:35 ~ 10:11,8096,08:59 ~ 09:31,09:31 ~ 10:07,6745,07:29 ~ 07:56,07:56 ~ 08:25,8711,09:40 ~ 10:14,10:14 ~ 10:53,8206,09:07 ~ 09:39,09:39 ~ 10:15,6945,07:43 ~ 08:10,08:10 ~ 08:40,9067,10:04 ~ 10:40,10:40 ~ 11:20,6650,07:23 ~ 07:49,07:49 ~ 08:18,8504,09:26 ~ 10:00,10:00 ~ 10:37,6450,07:10 ~ 07:35,07:35 ~ 08:03,9605,10:40 ~ 11:18,11:18 ~ 12:00,9246,10:16 ~ 10:52,10:52 ~ 11:33,8743,09:42 ~ 10:17,10:17 ~ 10:55,7040,07:49 ~ 08:16,08:16 ~ 08:48
Aeroporto Adolfo Suárez Madrid-Barajas,6403,07:06 ~ 07:31,07:31 ~ 08:00,6560,07:17 ~ 07:43,07:43 ~ 08:11,7993,08:52 ~ 09:24,09:24 ~ 09:59,6915,07:41 ~ 08:08,08:08 ~ 08:38,6059,06:43 ~ 07:07,07:07 ~ 07:34,7742,08:36 ~ 09:06,09:06 ~ 09:40,7726,08:35 ~ 09:05,09:05 ~ 09:39,6310,07:00 ~ 07:25,07:25 ~ 07:53,8270,09:11 ~ 09:43,09:43 ~ 10:20,7821,08:41 ~ 09:12,09:12 ~ 09:46,6494,07:12 ~ 07:38,07:38 ~ 08:07,8674,09:38 ~ 10:12,10:12 ~ 10:50,6271,06:58 ~ 07:22,07:22 ~ 07:50,8129,09:01 ~ 09:33,09:33 ~ 10:09,6061,06:44 ~ 07:07,07:07 ~ 07:34,9219,10:14 ~ 10:50,10:50 ~ 11:31,8863,09:50 ~ 10:25,10:25 ~ 11:04,8355,09:16 ~ 09:49,09:49 ~ 10:26,6658,07:23 ~ 07:49,07:49 ~ 08:19
Aeroporto Francisco Sá Carneiro (Porto),6219,06:54 ~ 07:18,07:18 ~ 07:46,6244,06:56 ~ 07:20,07:20 ~ 07:48,7628,08:28 ~ 08:58,08:58 ~ 09:32,6726,07:28 ~ 07:54,07:54 ~ 08:24,5834,06:28 ~ 06:51,06:51 ~ 07:17,7505,08:20 ~ 08:49,08:49 ~ 09:22,7550,08:23 ~ 08:52,08:52 ~ 09:26,6042,06:42 ~ 07:06,07:06 ~ 07:33,7988,08:52 ~ 09:23,09:23 ~ 09:59,7625,08:28 ~ 08:58,08:58 ~ 09:31,6197,06:53 ~ 07:17,07:17 ~ 07:44,8465,09:24 ~ 09:57,09:57 ~ 10:34,6089,06:45 ~ 07:09,07:09 ~ 07:36,7945,08:49 ~ 09:20,09:20 ~ 09:55,5868,06:31 ~ 06:54,06:54 ~ 07:20,9017,10:01 ~ 10:36,10:36 ~ 11:16,8666,09:37 ~ 10:11,10:11 ~ 10:49,8154,09:03 ~ 09:35,09:35 ~ 10:11,6471,07:11 ~ 07:36,07:36 ~ 08:05
Aeroporto Humberto Delgado (Lisboa),5968,06:37 ~ 07:01,07:01 ~ 07:27,6054,06:43 ~ 07:07,07:07 ~ 07:34,7477,08:18 ~ 08:47,08:47 ~ 09:20,6477,07:11 ~ 07:37,07:37 ~ 08:05,5596,06:13 ~ 06:35,06:35 ~ 06:59,7273,08:04 ~ 08:33,08:33 ~ 09:05,7297,08:06 ~ 08:35,08:35 ~ 09:07,5823,06:28 ~ 06:51,06:51 ~ 07:16,7778,08:38 ~ 09:09,09:09 ~ 09:43,7378,08:11 ~ 08:40,08:40 ~ 09:13,5995,06:39 ~ 07:03,07:03 ~ 07:29,8223,09:08 ~ 09:40,09:40 ~ 10:16,5837,06:29 ~ 06:52,06:52 ~ 07:17,7695,08:33 ~ 09:03,09:03 ~ 09:37,5620,06:14 ~ 06:36,06:36 ~ 07:01,8773,09:44 ~ 10:19,10:19 ~ 10:57,8420,09:21 ~ 09:54,09:54 ~ 10:31,7909,08:47 ~ 09:18,09:18 ~ 09:53,6221,06:54 ~ 07:19,07:19 ~ 07:46
