Destino,Origem,Intermerdiario,Final,Distancia,Emissão de CO2
Distrito Federal,Aeroporto Internacional de Taiwan Taoyuan,Aeroporto Internacional de Natal,Aeroporto Internacional de Brasília,18505,398.69863636363635
Distrito Federal,Aeroporto Internacional de Pequim Capital,Aeroporto Internacional de Fortaleza,Aeroporto Internacional de Brasília,16964,365.4970909090909
Distrito Federal,Aeroporto Internacional Indira Gandhi,Aeroporto Internacional de Natal,Aeroporto Internacional de Brasília,14282,307.7121818181818
Distrito Federal,Aeroporto Internacional de Changi,Aeroporto Internacional do Recife,Aeroporto Internacional de Brasília,17075,367.88863636363635
Distrito Federal,Aeroporto Internacional de Budapeste Ferenc Liszt,Aeroporto Internacional de Natal,Aeroporto Internacional de Brasília,9722,209.4649090909091
Distrito Federal,Aeroporto de Estocolmo-Arlanda,Aeroporto Internacional de Fortaleza,Aeroporto Internacional de Brasília,10259,221.03481818181817
Distrito Federal,Aeroporto Internacional de Kuala Lumpur (Sepang),Aeroporto Internacional do Recife,Aeroporto Internacional de Brasília,16851,363.06245454545456
Distrito Federal,Aeroporto Internacional de Xangai Pudong,Aeroporto Internacional de Natal,Aeroporto Internacional de Brasília,18104,390.05890909090914
Distrito Federal,Aeroporto de Schiphol (Amsterdã),Aeroporto Internacional de Fortaleza,Aeroporto Internacional de Brasília,9116,196.40836363636365
Distrito Federal,Aeroporto de Frankfurt,Aeroporto Internacional de Fortaleza,Aeroporto Internacional de Brasília,9159,197.33481818181818
Distrito Federal,Aeroporto Internacional Ninoy Aquino,Aeroporto Internacional de Natal,Aeroporto Internacional de Brasília,19040,410.2254545454545
Distrito Federal,Aeroporto de Barcelona-El Prat (Espanha),Aeroporto Internacional de Natal,Aeroporto Internacional de Brasília,8227,177.25445454545456
Distrito Federal,Aeroporto Internacional de Narita (Tóquio),Aeroporto Internacional de São Luís,Aeroporto Internacional de Brasília,17825,384.0477272727273
Distrito Federal,Aeroporto de Helsinque,Aeroporto Internacional de Fortaleza,Aeroporto Internacional de Brasília,10641,229.26518181818182
Distrito Federal,Aeroporto Francisco Sá Carneiro (Porto),Aeroporto Internacional de Fortaleza,Aeroporto Internacional de Brasília,7522,162.06490909090908
Distrito Federal,Aeroporto Internacional de Incheon,Aeroporto Internacional de Fortaleza,Aeroporto Internacional de Brasília,17663,380.5573636363637
Distrito Federal,Aeroporto Internacional de Haneda (Tóquio),Aeroporto Internacional de São Luís,Aeroporto Internacional de Brasília,17856,384.71563636363635
Distrito Federal,Aeroporto Internacional de Viena,Aeroporto Internacional de Natal,Aeroporto Internacional de Brasília,9593,206.68554545454543
Distrito Federal,Aeroporto de Praga,Aeroporto Internacional de Natal,Aeroporto Internacional de Brasília,9582,206.44854545454544
Distrito Federal,Aeroporto de Dublin,Aeroporto Internacional de Fortaleza,Aeroporto Internacional de Brasília,8706,187.57472727272727
Distrito Federal,Aeroporto de Varsóvia Chopin,Aeroporto Internacional de Natal,Aeroporto Internacional de Brasília,10100,217.60909090909092
Espírito Santo,Aeroporto Internacional de Suvarnabhumi,Aeroporto Internacional de Natal,Aeroporto Internacional de Vitória,16828,362.5669090909091
Espírito Santo,Aeroporto de Zurique,Aeroporto Internacional de Natal,Aeroporto Internacional de Vitória,8985,193.5859090909091
Espírito Santo,Aeroporto Internacional de Kansai (Osaka),Aeroporto Internacional de São Luís,Aeroporto Internacional de Vitória,18478,398.11690909090913
Espírito Santo,Aeroporto de Milão-Malpensa,Aeroporto Internacional de Natal,Aeroporto Internacional de Vitória,8863,190.95736363636365
Espírito Santo,Aeroporto Adolfo Suárez Madrid-Barajas,Aeroporto Internacional de Fortaleza,Aeroporto Internacional de Vitória,7892,170.03672727272726
Espírito Santo,Aeroporto Internacional de Nursultan Nazarbayev,Aeroporto Internacional de Natal,Aeroporto Internacional de Vitória,13365,287.955
Espírito Santo,Aeroporto de Toulouse-Blagnac (França),Aeroporto Internacional de Natal,Aeroporto Internacional de Vitória,8287,178.54718181818183
Espírito Santo,Aeroporto Internacional de Penang (Penang),Aeroporto Internacional do Recife,Aeroporto Internacional de Vitória,16538,356.3187272727273
Espírito Santo,Aeroporto de Bruxelas,Aeroporto Internacional de Fortaleza,Aeroporto Internacional de Vitória,9142,196.96854545454545
Espírito Santo,Aeroporto Internacional Soekarno-Hatta (Jacarta),Aeroporto Internacional do Recife,Aeroporto Internacional de Vitória,16948,365.15236363636365
Espírito Santo,Aeroporto Internacional de Hong Kong,Aeroporto Internacional de Natal,Aeroporto Internacional de Vitória,17934,386.39618181818184
Espírito Santo,Aeroporto de Varsóvia Chopin,Aeroporto Internacional de Natal,Aeroporto Internacional de Vitória,10014,215.75618181818183
Espírito Santo,Aeroporto Internacional de Taiwan Taoyuan,Aeroporto Internacional de Natal,Aeroporto Internacional de Vitória,18419,396.8457272727273
Espírito Santo,Aeroporto Internacional de Pequim Capital,Aeroporto Internacional de Fortaleza,Aeroporto Internacional de Vitória,17109,368.6211818181818
Espírito Santo,Aeroporto Internacional de Pyongyang Sunan,Aeroporto Internacional de Fortaleza,Aeroporto Internacional de Vitória,17602,379.2430909090909
Espírito Santo,Aeroporto Internacional de Changi,Aeroporto Internacional do Recife,Aeroporto Internacional de Vitória,16882,363.7303636363636
Espírito Santo,Aeroporto Internacional de Kuala Lumpur (Sepang),Aeroporto Internacional do Recife,Aeroporto Internacional de Vitória,16658,358.9041818181818
Espírito Santo,Aeroporto Internacional de Xangai Pudong,Aeroporto Internacional de Natal,Aeroporto Internacional de Vitória,18018,388.206
Espírito Santo,Aeroporto de Schiphol (Amsterdã),Aeroporto Internacional de Fortaleza,Aeroporto Internacional de Vitória,9261,199.53245454545456
Espírito Santo,Aeroporto de Frankfurt,Aeroporto Internacional de Fortaleza,Aeroporto Internacional de Vitória,9304,200.4589090909091
Espírito Santo,Aeroporto de Istambul,Aeroporto Internacional de Natal,Aeroporto Internacional de Vitória,10001,215.4760909090909
Espírito Santo,Aeroporto Internacional de Narita (Tóquio),Aeroporto Internacional de São Luís,Aeroporto Internacional de Vitória,18301,394.30336363636366
Espírito Santo,Aeroporto de Barcelona-El Prat (Espanha),Aeroporto Internacional de Natal,Aeroporto Internacional de Vitória,8141,175.40154545454544
Espírito Santo,Aeroporto Internacional de Incheon,Aeroporto Internacional de Fortaleza,Aeroporto Internacional de Vitória,17808,383.6814545454545
Espírito Santo,Aeroporto Internacional de Haneda (Tóquio),Aeroporto Internacional de São Luís,Aeroporto Internacional de Vitória,18332,394.9712727272727
Espírito Santo,Aeroporto Internacional de Viena,Aeroporto Internacional de Natal,Aeroporto Internacional de Vitória,9507,204.83263636363634
Espírito Santo,Aeroporto Internacional Don Mueang,Aeroporto Internacional de Natal,Aeroporto Internacional de Vitória,16810,362.17909090909086
Espírito Santo,Aeroporto de Praga,Aeroporto Internacional de Natal,Aeroporto Internacional de Vitória,9496,204.59563636363634
Espírito Santo,Aeroporto de Roma-Fiumicino,Aeroporto Internacional de Natal,Aeroporto Internacional de Vitória,8828,190.20327272727275
Espírito Santo,Aeroporto Internacional Ngurah Rai (Bali),Aeroporto Internacional do Recife,Aeroporto Internacional de Vitória,17685,381.03136363636366
Espírito Santo,Aeroporto de Dublin,Aeroporto Internacional de Fortaleza,Aeroporto Internacional de Vitória,8851,190.69881818181818
