Destino,Origem,Intermerdiario,Final,Distancia
Distrito Federal,Aeroporto de Barcelona-El Prat (Espanha),*,Aeroporto Internacional de Brasília,8156
Distrito Federal,Aeroporto Internacional de Penang (Penang),*,Aeroporto Internacional de Brasília,16369
Distrito Federal,Aeroporto de Estocolmo-Arlanda,Aeroporto Internacional de Guarulhos,Aeroporto Internacional de Brasília,11751
Distrito Federal,Aeroporto Francisco Sá Carneiro (Porto),Aeroporto Internacional do Rio de Janeiro,Aeroporto Internacional de Brasília,8851
Espírito Santo,Aeroporto Internacional de Kuala Lumpur (Sepang),*,Aeroporto Internacional de Vitória,15473
Espírito Santo,Aeroporto Internacional de Haneda (Tóquio),*,Aeroporto Internacional de Vitória,18309
Espírito Santo,Aeroporto Internacional de Changi,*,Aeroporto Internacional de Vitória,15617
Espírito Santo,Aeroporto de Varsóvia Chopin,*,Aeroporto Internacional de Vitória,9968
Espírito Santo,Aeroporto Internacional de Kansai (Osaka),*,Aeroporto Internacional de Vitória,18374
Espírito Santo,Aeroporto de Frankfurt,*,Aeroporto Internacional de Vitória,9148
Espírito Santo,Aeroporto Internacional de Xangai Pudong,*,Aeroporto Internacional de Vitória,17863
Espírito Santo,Aeroporto Internacional de Incheon,*,Aeroporto Internacional de Vitória,17713
Espírito Santo,Aeroporto de Roma-Fiumicino,*,Aeroporto Internacional de Vitória,8740
Espírito Santo,Aeroporto Internacional de Pyongyang Sunan,*,Aeroporto Internacional de Vitória,17515
Espírito Santo,Aeroporto de Zurique,*,Aeroporto Internacional de Vitória,8947
Espírito Santo,Aeroporto Adolfo Suárez Madrid-Barajas,*,Aeroporto Internacional de Vitória,7726
Espírito Santo,Aeroporto Internacional de Narita (Tóquio),*,Aeroporto Internacional de Vitória,18284
Espírito Santo,Aeroporto Internacional Don Mueang,*,Aeroporto Internacional de Vitória,15822
Espírito Santo,Aeroporto de Praga,*,Aeroporto Internacional de Vitória,9455
Espírito Santo,Aeroporto de Istambul,Aeroporto Internacional de Viracopos,Aeroporto Internacional de Vitória,11474
Espírito Santo,Aeroporto Internacional de Suvarnabhumi,*,Aeroporto Internacional de Vitória,15830
Espírito Santo,Aeroporto Internacional de Pequim Capital,*,Aeroporto Internacional de Vitória,16907
Espírito Santo,Aeroporto de Schiphol (Amsterdã),*,Aeroporto Internacional de Vitória,9146
Espírito Santo,Aeroporto de Toulouse-Blagnac (França),*,Aeroporto Internacional de Vitória,8255
Espírito Santo,Aeroporto Internacional de Viena,*,Aeroporto Internacional de Vitória,9448
Espírito Santo,Aeroporto Internacional de Hong Kong,*,Aeroporto Internacional de Vitória,17349
Espírito Santo,Aeroporto de Milão-Malpensa,*,Aeroporto Internacional de Vitória,8815
Espírito Santo,Aeroporto Internacional de Nursultan Nazarbayev,Aeroporto Internacional de Viracopos,Aeroporto Internacional de Vitória,14869
Espírito Santo,Aeroporto Internacional de Taiwan Taoyuan,*,Aeroporto Internacional de Vitória,18059
Espírito Santo,Aeroporto Internacional Ngurah Rai (Bali),*,Aeroporto Internacional de Vitória,15832
Espírito Santo,Aeroporto de Bruxelas,*,Aeroporto Internacional de Vitória,9017
Espírito Santo,Aeroporto Internacional Soekarno-Hatta (Jacarta),*,Aeroporto Internacional de Vitória,15376
Espírito Santo,Aeroporto Internacional de Penang (Penang),*,Aeroporto Internacional de Vitória,15458
Espírito Santo,Aeroporto de Barcelona-El Prat (Espanha),*,Aeroporto Internacional de Vitória,8096
Espírito Santo,Aeroporto Internacional Ninoy Aquino,*,Aeroporto Internacional de Vitória,17948
Espírito Santo,Aeroporto de Estocolmo-Arlanda,Aeroporto Internacional do Rio de Janeiro,Aeroporto Internacional de Vitória,11104
Espírito Santo,Aeroporto de Oslo-Gardermoen,*,Aeroporto Internacional de Vitória,10046
Espírito Santo,Aeroporto de Heathrow (Londres),*,Aeroporto Internacional de Vitória,8844
Espírito Santo,Aeroporto Francisco Sá Carneiro (Porto),Aeroporto Internacional de Guarulhos,Aeroporto Internacional de Vitória,8884
Espírito Santo,Aeroporto de Dublin,*,Aeroporto Internacional de Vitória,8795
Espírito Santo,Aeroporto Humberto Delgado (Lisboa),Aeroporto Internacional de Guarulhos,Aeroporto Internacional de Vitória,8639
Espírito Santo,Aeroporto de Helsinque,*,Aeroporto Internacional de Vitória,10668
Espírito Santo,Aeroporto Internacional de Budapeste Ferenc Liszt,*,Aeroporto Internacional de Vitória,9565
Espírito Santo,Aeroporto Internacional Indira Gandhi,*,Aeroporto Internacional de Vitória,13682
Espírito Santo,Aeroporto de Gatwick (Londres),*,Aeroporto Internacional de Vitória,8827
Goiás,Aeroporto Internacional de Budapeste Ferenc Liszt,Aeroporto Internacional de Viracopos,Aeroporto Internacional de Brasília,11109
Goiás,Aeroporto Francisco Sá Carneiro (Porto),*,Aeroporto Internacional de Brasília,7505
Goiás,Aeroporto Internacional de Kansai (Osaka),Aeroporto Internacional de Belo Horizonte,Aeroporto Internacional de Brasília,19004
Goiás,Aeroporto de Heathrow (Londres),*,Aeroporto Internacional de Brasília,8763
Goiás,Aeroporto de Varsóvia Chopin,*,Aeroporto Internacional de Brasília,10016
Goiás,Aeroporto Internacional de Changi,*,Aeroporto Internacional de Brasília,16555
Goiás,Aeroporto de Frankfurt,*,Aeroporto Internacional de Brasília,9150
Goiás,Aeroporto de Roma-Fiumicino,Aeroporto Internacional de Belo Horizonte,Aeroporto Internacional de Brasília,9523
Goiás,Aeroporto Internacional Indira Gandhi,Aeroporto Internacional de Guarulhos,Aeroporto Internacional de Brasília,15254
