Destino,Origem,Intermerdiario,Final,Distancia,Emissão de CO2
Espírito Santo,Aeroporto Internacional Soekarno-Hatta (Jacarta),Aeroporto Internacional de Salvador,Aeroporto Internacional de Vitória,16460,262.3
Espírito Santo,Aeroporto Internacional de Pequim Capital,Aeroporto Internacional do Recife,Aeroporto Internacional de Vitória,16945,270.03
Espírito Santo,Aeroporto Internacional de Taiwan Taoyuan,Aeroporto Internacional de Salvador,Aeroporto Internacional de Vitória,18330,292.1
Espírito Santo,Aeroporto Internacional de Nursultan Nazarbayev,Aeroporto Internacional do Recife,Aeroporto Internacional de Vitória,13314,212.16
Espírito Santo,Aeroporto de Schiphol (Amsterdã),Aeroporto Internacional do Recife,Aeroporto Internacional de Vitória,9147,145.76
Espírito Santo,Aeroporto Internacional de Kuala Lumpur (Sepang),Aeroporto Internacional de Salvador,Aeroporto Internacional de Vitória,16332,260.26
Espírito Santo,Aeroporto de Istambul,Aeroporto Internacional do Recife,Aeroporto Internacional de Vitória,9931,158.25
Espírito Santo,Aeroporto Internacional de Narita (Tóquio),Aeroporto Internacional de Fortaleza,Aeroporto Internacional de Vitória,18293,291.51
Espírito Santo,Aeroporto Internacional de Haneda (Tóquio),Aeroporto Internacional de Fortaleza,Aeroporto Internacional de Vitória,18314,291.84
Espírito Santo,Aeroporto de Barcelona-El Prat (Espanha),Aeroporto Internacional do Recife,Aeroporto Internacional de Vitória,8112,129.27
Espírito Santo,Aeroporto Internacional de Hong Kong,Aeroporto Internacional de Salvador,Aeroporto Internacional de Vitória,17752,282.89
Espírito Santo,Aeroporto Adolfo Suárez Madrid-Barajas,Aeroporto Internacional do Recife,Aeroporto Internacional de Vitória,7733,123.23
Espírito Santo,Aeroporto Internacional Ngurah Rai (Bali),Aeroporto Internacional de Salvador,Aeroporto Internacional de Vitória,17078,272.15
Espírito Santo,Aeroporto de Roma-Fiumicino,Aeroporto Internacional do Recife,Aeroporto Internacional de Vitória,8782,139.94
Espírito Santo,Aeroporto Internacional de Xangai Pudong,Aeroporto Internacional do Recife,Aeroporto Internacional de Vitória,17968,286.33
Espírito Santo,Aeroporto de Toulouse-Blagnac (França),Aeroporto Internacional do Recife,Aeroporto Internacional de Vitória,8264,131.69
Espírito Santo,Aeroporto Internacional Don Mueang,Aeroporto Internacional de Salvador,Aeroporto Internacional de Vitória,16431,261.84
Espírito Santo,Aeroporto Internacional de Incheon,Aeroporto Internacional do Recife,Aeroporto Internacional de Vitória,17719,282.36
Espírito Santo,Aeroporto de Bruxelas,Aeroporto Internacional do Recife,Aeroporto Internacional de Vitória,9019,143.72
Espírito Santo,Aeroporto de Varsóvia Chopin,Aeroporto Internacional do Recife,Aeroporto Internacional de Vitória,9985,159.12
Espírito Santo,Aeroporto Internacional de Pyongyang Sunan,Aeroporto Internacional do Recife,Aeroporto Internacional de Vitória,17519,279.17
Espírito Santo,Aeroporto Internacional de Kansai (Osaka),Aeroporto Internacional de Salvador,Aeroporto Internacional de Vitória,18374,292.8
Espírito Santo,Aeroporto Internacional de Suvarnabhumi,Aeroporto Internacional de Salvador,Aeroporto Internacional de Vitória,16445,262.06
Espírito Santo,Aeroporto Internacional de Changi,Aeroporto Internacional de Salvador,Aeroporto Internacional de Vitória,16527,263.36
