Origem,Alagoas (Kg),Amapá (Kg),Amazonas (Kg),Bahia (Kg),Ceará (Kg),Distrito Federal (Kg),Espírito Santo (Kg),Maranhão (Kg),Mato Grosso (Kg),Minas Gerais (Kg),Pará (Kg),Paraná (Kg),Pernambuco (Kg),Rio de Janeiro (Kg),Rio Grande do Norte (Kg),Rio Grande do Sul (Kg),Santa Catarina (Kg),São Paulo (Kg),Sergipe (Kg)
Aeroporto de Istambul,1058.292,1126.557,1313.763,1120.2839999999999,1034.799,1239.963,1209.213,1080.6779999999999,1321.758,1230.369,1112.781,1337.502,1041.687,1260.75,1022.007,1398.264,1353.615,1295.9279999999999,1089.288
Aeroporto de Zurique,938.49,956.3249999999999,1125.327,1001.5889999999999,897.654,1104.786,1100.481,928.281,1168.992,1113.273,949.683,1218.684,922.131,1150.419,897.039,1285.35,1241.316,1179.201,969.978
Aeroporto de Estocolmo-Arlanda,1103.064,1086.951,1229.754,1165.425,1054.233,1258.0439999999999,1266.9,1074.528,1308.843,1275.756,1087.074,1378.338,1087.197,1315.362,1059.891,1446.603,1403.676,1340.7,1134.06
Aeroporto Nikola Tesla (Belgrado),1006.509,1051.158,1229.754,1069.485,974.6519999999999,1182.03,1163.826,1013.643,1255.7069999999999,1181.046,1040.703,1288.179,989.904,1214.994,967.518,1352.262,1307.613,1247.343,1037.997
Aeroporto Internacional Sheremetyevo (Moscou),1206.261,1218.807,1373.172,1269.36,1166.655,1373.787,1367.022,1196.175,1435.656,1381.167,1214.871,1487.193,1189.779,1417.575,1165.302,1553.367,1509.087,1447.341,1237.749
Aeroporto de Pulkovo (São Petersburgo),1177.479,1170.591,1315.116,1240.3319999999999,1131.969,1337.256,1340.454,1155.339,1391.376,1351.401,1169.607,1455.459,1161.366,1389.9,1135.044,1523.109,1479.567,1416.96,1208.721
Aeroporto Internacional Henri Coand? (Bucareste),1054.602,1106.139,1286.334,1117.209,1025.451,1232.337,1209.705,1066.533,1308.597,1228.401,1094.946,1335.78,1037.874,1261.119,1016.472,1398.633,1353.984,1294.575,1085.9669999999999
Aeroporto Humberto Delgado (Lisboa),734.064,744.6419999999999,919.6709999999999,796.6709999999999,688.308,894.579,897.531,716.229,956.694,907.494,737.385,1011.429,717.951,946.485,691.26,1079.079,1035.66,972.807,765.183
Aeroporto Francisco Sá Carneiro (Porto),764.937,768.012,938.244,827.298,717.582,923.115,928.65,743.1659999999999,982.524,937.875,762.231,1041.195,748.947,977.235,721.764,1109.091,1065.918,1002.942,795.933
Aeroporto Internacional de Malta,889.905,962.475,1155.831,952.143,866.1659999999999,1071.084,1042.425,913.029,1153.617,1062.597,946.977,1169.853,873.3,1093.839,853.374,1231.4759999999999,1186.95,1128.402,921.024
Aeroporto de Luxemburgo,943.533,949.314,1112.043,1006.386,899.13,1105.401,1106.508,926.067,1165.302,1117.578,944.64,1222.0049999999999,927.297,1155.954,901.221,1289.4089999999999,1245.867,1183.137,974.775
Aeroporto Internacional de Vilnius,1112.412,1122.867,1280.307,1175.511,1071.2069999999999,1278.093,1274.157,1099.866,1339.347,1287.195,1118.685,1392.606,1096.0529999999999,1324.218,1070.961,1459.395,1415.238,1353.123,1143.9
Aeroporto Internacional de Riga,1119.177,1119.3,1270.713,1182.03,1075.02,1281.045,1281.783,1100.481,1338.24,1293.345,1116.7169999999999,1397.895,1102.818,1331.475,1076.988,1465.299,1421.634,1359.027,1150.419
Aeroporto Internacional Madre Teresa (Tirana),977.85,1035.291,1220.406,1040.4569999999999,949.806,1156.323,1132.7069999999999,992.487,1234.305,1151.526,1022.622,1258.905,961.122,1183.998,939.966,1321.635,1276.9859999999999,1217.577,1009.092
Aeroporto de Barcelona-El Prat (Espanha),834.309,863.46,1041.933,897.408,795.564,1003.188,995.808,829.635,1071.33,1009.215,854.235,1115.118,817.9499999999999,1045.992,793.227,1181.415,1137.258,1075.266,865.797
Aeroporto de Toulouse-Blagnac (França),853.005,871.701,1044.762,915.981,811.308,1018.4399999999999,1015.365,842.058,1083.138,1027.542,864.198,1132.7069999999999,836.646,1065.18,811.185,1199.619,1155.708,1093.347,884.37
Aeroporto Internacional de Viena,1001.835,1028.772,1199.619,1064.934,964.443,1171.944,1162.104,998.0219999999999,1239.471,1176.741,1021.146,1283.013,985.23,1212.657,961.245,1348.818,1304.415,1242.915,1033.323
Aeroporto de Bruxelas,945.501,943.779,1102.449,1008.108,899.007,1104.417,1109.091,923.484,1161.489,1118.931,940.335,1222.62,929.511,1158.045,902.697,1290.516,1247.097,1184.244,976.7429999999999
Aeroporto de Sófia,1018.932,1075.389,1258.782,1081.539,991.134,1197.651,1173.543,1033.446,1275.387,1192.608,1063.212,1299.864,1002.204,1224.834,981.1709999999999,1362.471,1317.822,1258.536,1050.297
Aeroporto de Bratislava,1007.124,1034.676,1205.523,1070.223,969.978,1177.602,1167.393,1003.803,1245.252,1182.153,1027.05,1288.548,990.6419999999999,1217.946,966.657,1354.107,1309.827,1248.327,1038.612
Aeroporto de Ljubljana Joe Pu?nik,970.716,1002.327,1176.372,1033.815,934.308,1141.932,1130.616,969.3629999999999,1211.058,1145.622,993.717,1252.1399999999999,954.111,1181.292,930.372,1317.576,1273.173,1211.9189999999999,1002.204
Aeroporto Adolfo Suárez Madrid-Barajas,787.569,806.88,983.139,850.545,745.257,952.266,950.298,776.13,1017.21,961.983,798.762,1066.902,771.333,999.867,745.503,1133.937,1090.149,1027.665,818.934
Aeroporto de Barcelona-El Prat,834.432,863.583,1041.933,897.531,795.687,1003.188,995.808,829.635,1071.453,1009.338,854.235,1115.241,817.9499999999999,1045.992,793.35,1181.415,1137.258,1075.389,865.92
Aeroporto de Tallinn,1141.44,1132.461,1277.355,1204.17,1094.946,1299.864,1304.7839999999999,1117.578,1353.369,1314.993,1131.6,1418.682,1125.327,1353.8609999999999,1098.759,1486.578,1443.1589999999999,1380.306,1172.682
Aeroporto de Vágar,1015.98,958.662,1080.309,1075.389,955.833,1149.435,1178.586,962.229,1183.875,1180.431,964.812,1275.879,1001.22,1223.235,971.208,1344.882,1304.7839999999999,1241.931,1045.377
Aeroporto de Helsinque,1148.574,1136.028,1278.585,1211.181,1101.219,1305.645,1312.164,1122.744,1357.551,1321.881,1135.782,1425.201,1132.584,1361.118,1105.77,1493.22,1450.047,1387.071,1179.816
