Origem,Recife - Guararapes (Hr - Comercial),Salvador - Dpt. Magalhães (Hr - Comercial),Natal - Gov. Alves (Hr - Comercial),São Luiz - Mar. Cunha (Hr - Comercial),Fortaleza - Martins (Hr - Comercial)
Aeroporto Internacional de Fortaleza,,,,,
Aeroporto Internacional de Maceió,,,,,00:44 ~ 00:46
Aeroporto Internacional de Aracaju,,,,,00:53 ~ 00:57
Aeroporto Internacional de Belo Horizonte,,,,,02:01 ~ 02:08
Aeroporto Santos Dumont,,,,,02:24 ~ 02:33
Aeroporto Internacional do Rio de Janeiro,,,,,02:24 ~ 02:32
Aeroporto Internacional de Vitória,,,,,02:02 ~ 02:09
Aeroporto Internacional de São José dos Campos,,,,,02:32 ~ 02:41
Aeroporto Internacional de Viracopos,,,,,02:38 ~ 02:47
Aeroporto Internacional de Curitiba,,,,,02:55 ~ 03:06
Aeroporto Internacional de Florianópolis,,,,,03:09 ~ 03:21
Aeroporto Internacional de Navegantes,,,,,03:05 ~ 03:16
Aeroporto Internacional de Porto Alegre,,,,,03:32 ~ 03:45
Aeroporto Internacional de Boa Vista,,,,,02:51 ~ 03:01
