UF do Produto,URF,Código NCM,Países,Soma quantidades,Soma Frete
Pernambuco,Aeroporto Internacional de Viracopos,84715010,China,232,2227
Bahia,Aeroporto Internacional de Salvador,84715010,Alemanha,6,77
Bahia,Aeroporto Internacional de Salvador,84715010,Dinamarca,1,219
Bahia,Aeroporto Internacional de Salvador,84715010,Itália,1,8
Paraíba,Aeroporto Internacional de Guarulhos,84715010,Hong Kong,6,1138
Pernambuco,Aeroporto Internacional do Recife,84715010,China,23,3240
Pernambuco,Aeroporto Internacional de Viracopos,84715010,China,150,1798
Bahia,Aeroporto Internacional de Salvador,84715010,França,2,36
Bahia,Aeroporto Internacional de Viracopos,84715010,China,10,2854
Bahia,Aeroporto Internacional de Viracopos,84715020,Estados Unidos,2,1369
Paraíba,Aeroporto Internacional do Recife,84715010,Tailândia,1,16
Paraíba,Aeroporto Internacional do Recife,84715010,Taiwan (Formosa),1,31
Piauí,Aeroporto Internacional de Fortaleza,84715010,Áustria,1,488
Alagoas,Aeroporto Internacional do Recife,84715010,"Tcheca, República",1,59
Alagoas,Aeroporto Internacional de Guarulhos,84715010,México,25,3246
Ceará,Aeroporto Internacional de Fortaleza,84715020,China,2,759
Ceará,Aeroporto Internacional de Fortaleza,84715020,Coreia do Sul,1,231
Pernambuco,Aeroporto Internacional do Recife,84715020,Estados Unidos,5,1306
Pernambuco,Aeroporto Internacional do Recife,84715020,Países Baixos (Holanda),1,1078
Pernambuco,Aeroporto Internacional de Viracopos,84715010,China,120,1981
Piauí,Aeroporto Internacional de Viracopos,84715010,China,1,366
Sergipe,Aeroporto Internacional de Guarulhos,84715010,China,50,630
Bahia,Aeroporto Internacional de Salvador,84715010,Alemanha,1,36
Bahia,Aeroporto Internacional de Salvador,84715010,Polônia,1,483
Bahia,Aeroporto Internacional de Salvador,84715010,"Tcheca, República",2,2977
Bahia,Aeroporto Internacional de Salvador,84715020,"Tcheca, República",1,552
Bahia,Aeroporto Internacional de Viracopos,84715010,China,14,427
Ceará,Aeroporto Internacional de Fortaleza,84715010,Polônia,1,128
Ceará,Aeroporto Internacional de Fortaleza,84715010,Taiwan (Formosa),10,371
Maranhão,Aeroporto Internacional do Rio de Janeiro,84715010,Alemanha,4,1322
Maranhão,Aeroporto Internacional do Rio de Janeiro,84715010,Suíça,1,18
Maranhão,Aeroporto Internacional do Rio de Janeiro,84715020,Suíça,1,13
Paraíba,Aeroporto Internacional de Guarulhos,84715010,Hong Kong,1,517
Pernambuco,Aeroporto Internacional do Recife,84715010,México,1,154
Pernambuco,Aeroporto Internacional de Guarulhos,84715010,Alemanha,1,102
Pernambuco,Aeroporto Internacional de Viracopos,84715010,Canadá,1,476
Pernambuco,Aeroporto Internacional de Viracopos,84715010,China,3,129
Piauí,Aeroporto Internacional de Viracopos,84715010,Canadá,1,1728
Piauí,Aeroporto Internacional de Viracopos,84715010,México,1,1175
Rio Grande do Norte,Aeroporto Internacional de Fortaleza,84715010,Alemanha,1,237
Bahia,Aeroporto Internacional de Salvador,84715010,Taiwan (Formosa),2,609
Bahia,Aeroporto Internacional de Salvador,84715020,Polônia,1,477
Ceará,Aeroporto Internacional de Fortaleza,84715010,Alemanha,2,178
Ceará,Aeroporto Internacional de Viracopos,84715010,Hong Kong,1,13
Pernambuco,Aeroporto Internacional do Recife,84715010,Dinamarca,1,1794
Pernambuco,Aeroporto Internacional do Recife,84715010,Países Baixos (Holanda),1,742
Pernambuco,Aeroporto Internacional de Guarulhos,84715010,Alemanha,1,90
Rio Grande do Norte,Aeroporto Internacional de Guarulhos,84715010,México,1,45
Alagoas,Aeroporto Internacional de Guarulhos,84715010,China,1,31
Bahia,Aeroporto Internacional de Salvador,84715010,Alemanha,10,526
Bahia,Aeroporto Internacional de Salvador,84715010,Polônia,4,566
Bahia,Aeroporto Internacional de Salvador,84715010,Taiwan (Formosa),1,83
Paraíba,Aeroporto Internacional do Recife,84715010,Estados Unidos,3,167
Paraíba,Aeroporto Internacional do Recife,84715010,Malásia,1,8
Paraíba,Aeroporto Internacional do Recife,84715010,Tailândia,2,80
Pernambuco,Aeroporto Internacional de Viracopos,84715010,China,60,532
Pernambuco,Aeroporto Internacional de Viracopos,84715010,Estados Unidos,1,401
Bahia,Aeroporto Internacional de Salvador,84715010,Taiwan (Formosa),2,57
Bahia,Aeroporto Internacional de Guarulhos,84715010,Alemanha,5,357
Bahia,Aeroporto Internacional de Guarulhos,84715010,Áustria,8,137
Pernambuco,Aeroporto Internacional do Recife,84715010,Alemanha,1,160
Pernambuco,Aeroporto Internacional de Guarulhos,84715010,Suíça,1,102
