UF do Produto,URF,Código NCM,Países,Soma quantidades,Soma Frete
Pernambuco,Aeroporto Internacional de Viracopos,84715010,China,60,532
Pernambuco,Aeroporto Internacional de Viracopos,84715010,Estados Unidos,1,77
Bahia,Aeroporto Internacional de Salvador,84715010,Espanha,4,735
Bahia,Aeroporto Internacional de Salvador,84715010,México,10,1037
Bahia,Aeroporto Internacional de Salvador,84715020,Estados Unidos,3,985
Bahia,Aeroporto Internacional de Guarulhos,84715010,França,1,2
Paraíba,Aeroporto Internacional do Recife,84715010,Tailândia,3,74
Paraíba,Aeroporto Internacional de Viracopos,84715010,China,4,422
Pernambuco,Aeroporto Internacional do Rio de Janeiro,84715010,Estados Unidos,5,718
Bahia,Aeroporto Internacional de Salvador,84715010,China,6,8586
Pernambuco,Aeroporto Internacional do Recife,84715010,México,26,7398
Pernambuco,Aeroporto Internacional do Rio de Janeiro,84715010,Bélgica,1,319
Pernambuco,Aeroporto Internacional de Viracopos,84715010,China,40,409
Rio Grande do Norte,Aeroporto Internacional de Fortaleza,84715010,China,4,85
Rio Grande do Norte,Aeroporto Internacional de Fortaleza,84715020,China,1,14
Rio Grande do Norte,Aeroporto Internacional de Fortaleza,84715020,México,2,748
Rio Grande do Norte,Aeroporto Internacional de Fortaleza,84715030,México,1,374
Bahia,Aeroporto Internacional de Salvador,84715020,Suécia,4,1207
Ceará,Aeroporto Internacional de Guarulhos,84715010,Hungria,1,89
Pernambuco,Aeroporto Internacional do Rio de Janeiro,84715010,Estados Unidos,1,755
Rio Grande do Norte,Aeroporto Internacional do Recife,84715020,China,4,917
Rio Grande do Norte,Aeroporto Internacional de Natal,84715010,Alemanha,1,351
Pernambuco,Aeroporto Internacional do Rio de Janeiro,84715010,Estados Unidos,4,777
Bahia,Aeroporto Internacional de Salvador,84715010,Taiwan (Formosa),50,3542
Bahia,Aeroporto Internacional de Guarulhos,84715010,Alemanha,2,105
Paraíba,Aeroporto Internacional do Rio de Janeiro,84715010,Reino Unido,1,838
Pernambuco,Aeroporto Internacional de Salvador,84715020,Estados Unidos,5,1720
Rio Grande do Norte,Aeroporto Internacional de Fortaleza,84715010,Áustria,2,466
Bahia,Aeroporto Internacional de Salvador,84715010,México,2,265
Bahia,Aeroporto Internacional de Viracopos,84715010,Hungria,1,32
Paraíba,Aeroporto Internacional de Viracopos,84715020,Estados Unidos,2,2251
Pernambuco,Aeroporto Internacional do Recife,84715010,China,1,102
Pernambuco,Aeroporto Internacional do Recife,84715010,Israel,1,1768
Pernambuco,Aeroporto Internacional de Guarulhos,84715010,Estados Unidos,1,10
Bahia,Aeroporto Internacional de Salvador,84715010,Estados Unidos,1,69
Bahia,Aeroporto Internacional de Guarulhos,84715010,Espanha,1,640
Bahia,Aeroporto Internacional de Viracopos,84715010,China,5,362
Paraíba,Aeroporto Internacional do Recife,84715010,China,1,16
Paraíba,Aeroporto Internacional de Viracopos,84715010,China,2,559
Pernambuco,Aeroporto Internacional do Recife,84715010,China,3,15
Pernambuco,Aeroporto Internacional do Recife,84715010,Israel,1,211
