InputID,TargetID,Distance m,Distance km
3,34,"7967087,532",7967
3,35,"8017940,841",8018
3,36,"8653338,359",8653
3,37,"8015901,049",8016
3,38,"7999443,799",7999
3,39,"8782647,872",8783
3,40,"8322937,804",8323
3,41,"9686159,646",9686
3,42,"9107553,619",9108
3,43,"8142953,073",8143
3,44,"9475294,815",9475
3,45,"8694925,082",8695
3,46,"10320307,09",10320
3,47,"10083825,21",10084
3,48,"9082999,398",9083
3,49,"6476556,023",6477
3,50,"6726215,036",6726
3,51,"7740501,112",7741
3,52,"8181880,512",8182
3,53,"9556919,563",9557
3,54,"9610014,277",9610
3,55,"8458529,818",8459
3,56,"7296389,649",7296
3,57,"7446858,879",7447
3,58,"8657857,015",8658
3,59,"8196484,25",8196
3,60,"8792535,675",8793
3,61,"8701485,482",8701
3,62,"8404955,698",8405
3,63,"6914652,339",6915
3,64,"7296919,966",7297
3,65,"9789752,429",9790
3,66,"8743012,804",8743
3,67,"9847288,45",9847
3,68,"1085855,495",1086
3,69,"1975635,997",1976
3,70,"1696817,639",1697
3,71,"3250865,035",3251
3,72,"2628644,722",2629
3,73,"2007131,576",2007
3,74,"1010795,621",1011
3,75,"513224,4479",513
3,76,"257131,6323",257
3,77,"909424,7834",909
3,78,"1219194,743",1219
3,79,"1212521,42",1213
3,80,"839299,8483",839
3,81,"1390502,207",1391
3,82,"1521212,609",1521
3,83,"1778118,668",1778
3,84,"1949386,28",1949
3,85,"1887917,936",1888
3,86,"2308516,03",2309
4,1,"2294472,696",2294
4,2,"262524,2709",263
4,3,"858498,7026",858
4,5,"1056099,107",1056
4,6,"424965,8846",425
4,7,"11673117,37",11673
4,8,"16325518,59",16326
4,9,"15284911,1",15285
4,10,"15837753,88",15838
4,11,"16039855,43",16040
4,12,"17261567,97",17262
4,13,"16242357,01",16242
4,14,"12504088,68",12504
4,15,"15601829,2",15602
4,16,"16376270,96",16376
4,17,"16653760,63",16654
4,18,"16668266,76",16668
4,19,"16685144,91",16685
4,20,"15256557,01",15257
4,21,"15248371,56",15248
4,22,"15111267,62",15111
4,23,"12141849,9",12142
4,24,"15483876,48",15484
4,25,"15136328,28",15136
4,26,"15118055,14",15118
4,27,"16726788,63",16727
4,28,"15805778,46",15806
4,29,"15500580,05",15501
4,30,"7482361,498",7482
4,31,"7102620,518",7103
4,32,"8321508,008",8322
4,33,"8357134,308",8357
4,34,"7135545,786",7136
4,35,"7171092,541",7171
4,36,"7803695,504",7804
4,37,"7157418,448",7157
4,38,"7141012,505",7141
4,39,"7944355,701",7944
4,40,"7465162,978",7465
4,41,"8851250,477",8851
4,42,"8309375,994",8309
4,43,"7292569,17",7293
4,44,"8617134,541",8617
4,45,"7866315,12",7866
4,46,"9473737,899",9474
4,47,"9228095,443",9228
4,48,"8263874,423",8264
4,49,"5619528,487",5620
4,50,"5868262,137",5868
4,51,"6937922,435",6938
4,52,"7326718,517",7327
4,53,"8706901,386",8707
4,54,"8755710,194",8756
4,55,"7642109,646",7642
4,56,"6449199,117",6449
4,57,"6594826,586",6595
4,58,"7814688,644",7815
4,59,"7339371,261",7339
4,60,"7977113,175",7977
4,61,"7858854,798",7859
4,62,"7563972,651",7564
4,63,"6061298,065",6061
4,64,"6449710,975",6450
4,65,"8933047,436",8933
4,66,"7895708,034",7896
4,67,"8989912,534",8990
4,68,"1778379,127",1778
4,69,"2557496,928",2557
4,70,"1547192,189",1547
4,71,"3450770,895",3451
4,72,"2768089,071",2768
4,73,"1871434,049",1871
4,74,"425756,7369",426
4,75,"365296,7424",365
4,76,"605834,5417",606
4,77,"1759459,747",1759
4,78,"2077655,76",2078
4,79,"2070892,722",2071
4,80,"1692214,229",1692
4,81,"2239799,837",2240
4,82,"2355790,954",2356
4,83,"2617100,699",2617
4,84,"2801885,228",2802
4,85,"2737590,29",2738
4,86,"3158216,621",3158
5,1,"2318469,794",2318
5,2,"1198705,928",1199
5,3,"1313144,256",1313
5,4,"1056099,107",1056
5,6,"646666,2489",647
5,7,"12003652,71",12004
5,8,"16524339,26",16524
5,9,"15428618,54",15429
5,10,"15821188,34",15821
5,11,"16028190,38",16028
5,12,"17933835,84",17934
5,13,"16805174,65",16805
5,14,"13193338,99",13193
5,15,"16656962,08",16657
5,16,"17421138,89",17421
5,17,"16300930,98",16301
5,18,"16331637,24",16332
5,19,"16478054,21",16478
5,20,"16025626,4",16026
5,21,"16248728,52",16249
5,22,"16084506,99",16085
5,23,"13119257,51",13119
5,24,"16498402,34",16498
5,25,"15990057,45",15990
5,26,"15968432,8",15968
5,27,"17075404,28",17075
5,28,"16691512,83",16692
5,29,"16181141,43",16181
5,30,"7696697,255",7697
5,31,"7140566,36",7141
5,32,"8578286,059",8578
5,33,"8431643,057",8432
5,34,"7508706,325",7509
5,35,"7456045,923",7456
5,36,"8056208,8",8056
5,37,"7275566,36",7276
5,38,"7266281,303",7266
5,39,"8269950,096",8270
5,40,"7615483,959",7615
5,41,"9180414,717",9180
5,42,"8785596,96",8786
5,43,"7547165,723",7547
5,44,"8736169,396",8736
5,45,"8240530,589",8241
5,46,"9724553,465",9725
5,47,"9393099,498",9393
5,48,"8670575,123",8671
5,49,"5823331,348",5823
5,50,"6042111,557",6042
5,51,"7423128,615",7423
5,52,"7529104,245",7529
5,53,"8942195,833",8942
5,54,"8946950,885",8947
5,55,"8068855,118",8069
5,56,"6744855,752",6745
5,57,"6846491,135",6846
5,58,"8113800,368",8114
5,59,"7508449,257",7508
5,60,"8402068,499",8402
5,61,"8160618,486",8161
5,62,"7880534,017",7881
5,63,"6309563,383",6310
5,64,"6745220,436",6745
5,65,"9085936,458",9086
5,66,"7822679,315",7823
5,67,"9127834,325",9128
5,68,"1523749,397",1524
5,69,"1968716,855",1969
5,70,"491920,8871",492
5,71,"2451325,6",2451
5,72,"1760067,118",1760
5,73,"815410,3379",815
5,74,"645819,2646",646
5,75,"1179612,338",1180
5,76,"1215829,938",1216
5,77,"1886981,636",1887
5,78,"2251025,008",2251
5,79,"2239204,432",2239
5,80,"2000419,724",2000
5,81,"2286017,868",2286
5,82,"2312739,038",2313
5,83,"2563005,171",2563
5,84,"2813211,44",2813
5,85,"2732574,534",2733
5,86,"3120225,658",3120
6,1,"2336868,928",2337
