Origem,São Paulo - Guarulhos (Km),São Paulo - Guarulhos (Kg),São Paulo - Guarulhos (Hr - Comercial),São Paulo - Guarulhos (Hr - Cargueiro),Recife - Guararapes (Km),Recife - Guararapes (Kg),Recife - Guararapes (Hr - Comercial),Recife - Guararapes (Hr - Cargueiro),Salvador - Dpt. Magalhães (Km),Salvador - Dpt. Magalhães (Kg),Salvador - Dpt. Magalhães (Hr - Comercial),Salvador - Dpt. Magalhães (Hr - Cargueiro),Natal - Gov. Alves (Km),Natal - Gov. Alves (Kg),Natal - Gov. Alves (Hr - Comercial),Natal - Gov. Alves (Hr - Cargueiro),São Luiz - Mar. Cunha (Km),São Luiz - Mar. Cunha (Kg),São Luiz - Mar. Cunha (Hr - Comercial),São Luiz - Mar. Cunha (Hr - Cargueiro),Fortaleza - Martins (Km),Fortaleza - Martins (Kg),Fortaleza - Martins (Hr - Comercial),Fortaleza - Martins (Hr - Cargueiro)
Aeroporto Internacional Don Mueang,16412,2018.676,18.24 ~ 19.31,19.31 ~ 20.52,15140,1862.22,16.82 ~ 17.81,17.81 ~ 18.93,15592,1917.816,17.32 ~ 18.34,18.34 ~ 19.49,15118,1859.514,16.80 ~ 17.79,17.79 ~ 18.90,15968,1964.064,17.74 ~ 18.79,18.79 ~ 19.96,15409,1895.307,17.12 ~ 18.13,18.13 ~ 19.26
Aeroporto Internacional de Suvarnabhumi,16417,2019.291,18.24 ~ 19.31,19.31 ~ 20.52,15157,1864.311,16.84 ~ 17.83,17.83 ~ 18.95,15606,1919.538,17.34 ~ 18.36,18.36 ~ 19.51,15136,1861.728,16.82 ~ 17.81,17.81 ~ 18.92,15990,1966.77,17.77 ~ 18.81,18.81 ~ 19.99,15429,1897.767,17.14 ~ 18.15,18.15 ~ 19.29
Aeroporto Internacional de Wattay (Vientiane),16756,2060.988,18.62 ~ 19.71,19.71 ~ 20.95,15307,1882.761,17.01 ~ 18.01,18.01 ~ 19.13,15807,1944.261,17.56 ~ 18.60,18.60 ~ 19.76,15257,1876.6109999999999,16.95 ~ 17.95,17.95 ~ 19.07,16026,1971.1979999999999,17.81 ~ 18.85,18.85 ~ 20.03,15511,1907.853,17.23 ~ 18.25,18.25 ~ 19.39
Aeroporto Internacional de Tan Son Nhat,16855,2073.165,18.73 ~ 19.83,19.83 ~ 21.07,15809,1944.507,17.57 ~ 18.60,18.60 ~ 19.76,16216,1994.568,18.02 ~ 19.08,19.08 ~ 20.27,15806,1944.138,17.56 ~ 18.60,18.60 ~ 19.76,16692,2053.116,18.55 ~ 19.64,19.64 ~ 20.86,16116,1982.268,17.91 ~ 18.96,18.96 ~ 20.14
Aeroporto Internacional de Noi Bai,17171,2112.033,19.08 ~ 20.20,20.20 ~ 21.46,15576,1915.848,17.31 ~ 18.32,18.32 ~ 19.47,16116,1982.268,17.91 ~ 18.96,18.96 ~ 20.14,15501,1906.623,17.22 ~ 18.24,18.24 ~ 19.38,16181,1990.263,17.98 ~ 19.04,19.04 ~ 20.23,15717,1933.191,17.46 ~ 18.49,18.49 ~ 19.65
Aeroporto Internacional de Pequim Capital,17578,2162.094,19.53 ~ 20.68,20.68 ~ 21.97,15483,1904.4089999999999,17.20 ~ 18.22,18.22 ~ 19.35,16130,1983.99,17.92 ~ 18.98,18.98 ~ 20.16,15285,1880.055,16.98 ~ 17.98,17.98 ~ 19.11,15429,1897.767,17.14 ~ 18.15,18.15 ~ 19.29,15276,1878.9479999999999,16.97 ~ 17.97,17.97 ~ 19.09
Aeroporto Internacional de Hong Kong,18018,2216.214,20.02 ~ 21.20,21.20 ~ 22.52,16343,2010.189,18.16 ~ 19.23,19.23 ~ 20.43,16913,2080.299,18.79 ~ 19.90,19.90 ~ 21.14,16242,1997.766,18.05 ~ 19.11,19.11 ~ 20.30,16805,2067.015,18.67 ~ 19.77,19.77 ~ 21.01,16414,2018.922,18.24 ~ 19.31,19.31 ~ 20.52
Aeroporto Internacional de Pyongyang Sunan,18106,2227.038,20.12 ~ 21.30,21.30 ~ 22.63,16057,1975.011,17.84 ~ 18.89,18.89 ~ 20.07,16696,2053.608,18.55 ~ 19.64,19.64 ~ 20.87,15838,1948.074,17.60 ~ 18.63,18.63 ~ 19.80,15821,1945.983,17.58 ~ 18.61,18.61 ~ 19.78,15769,1939.587,17.52 ~ 18.55,18.55 ~ 19.71
Aeroporto Internacional de Incheon,18312,2252.3759999999997,20.35 ~ 21.54,21.54 ~ 22.89,16257,1999.6109999999999,18.06 ~ 19.13,19.13 ~ 20.32,16898,2078.454,18.78 ~ 19.88,19.88 ~ 21.12,16040,1972.92,17.82 ~ 18.87,18.87 ~ 20.05,16028,1971.444,17.81 ~ 18.86,18.86 ~ 20.04,15975,1964.925,17.75 ~ 18.79,18.79 ~ 19.97
Aeroporto Internacional Ninoy Aquino,18378,2260.494,20.42 ~ 21.62,21.62 ~ 22.97,17316,2129.868,19.24 ~ 20.37,20.37 ~ 21.64,17795,2188.785,19.77 ~ 20.94,20.94 ~ 22.24,17262,2123.226,19.18 ~ 20.31,20.31 ~ 21.58,17934,2205.882,19.93 ~ 21.10,21.10 ~ 22.42,17490,2151.27,19.43 ~ 20.58,20.58 ~ 21.86
